postcodes_id,zone_id,postcode_range_start,postcode_range_end,postcode_name,status
140,5,EC4N,EC4N,EC4N,1
141,5,EC4R,EC4R,EC4R,1
142,5,EC4V,EC4V,EC4V,1
143,5,EC4Y,EC4Y,EC4Y,1
144,5,SE11,SE11,SE11,1
145,5,RM2,RM2,RM2,1
146,5,RM1,RM1,RM1,1
147,6,N1,N1,N1,1
148,7,N1C,N1C,N1C,1
149,7,FW1,FW1,FW1,1
150,8,NW1,NW1,NW1,1
151,8,W2,W2,W2,1
152,8,N5,N5,N5,1
153,8,N7,N7,N7,1
154,8,E11,E11,E11,1
155,9,N19,N19,N19,1
156,9,NW5,NW5,NW5,1
157,9,N4,N4,N4,1
158,9,N15,N15,N15,1
159,9,E17,E17,E17,1
160,10,W2,W2,W2,1
161,10,N5,N5,N5,1
162,10,N7,N7,N7,1
163,10,E11,E11,E11,1
164,11,FW1,FW1,FW1,1
165,12,W1,W1,W1,1
166,12,WC1,WC1,WC1,1
167,12,WC2,WC2,WC2,1
168,12,EC1,EC1,EC1,1
169,12,EC2,EC2,EC2,1
170,12,EC3,EC3,EC3,1
171,12,EC4,EC4,EC4,1
172,12,SW1A,SW1A,SW1A,1
173,12,SW1E,SW1E,SW1E,1
174,12,SW1H,SW1H,SW1H,1
175,12,SW1P,SW1P,SW1P,1
176,12,SW1V,SW1V,SW1V,1
177,12,SW1W,SW1W,SW1W,1
178,12,SW1X,SW1X,SW1X,1
179,12,SW1Y,SW1Y,SW1Y,1
180,12,W1B,W1B,W1B,1
181,12,W1C,W1C,W1C,1
182,12,W1D,W1D,W1D,1
183,12,W1F,W1F,W1F,1
184,12,W1G,W1G,W1G,1
185,12,W1H,W1H,W1H,1
186,12,W1J,W1J,W1J,1
187,12,W1K,W1K,W1K,1
188,12,W1S,W1S,W1S,1
189,12,W1T,W1T,W1T,1
190,12,W1U,W1U,W1U,1
191,12,W1W,W1W,W1W,1
192,12,WC1A,WC1A,WC1A,1
193,12,WC1B,WC1B,WC1B,1
194,12,WC1E,WC1E,WC1E,1
195,12,WC1H,WC1H,WC1H,1
196,12,WC1N,WC1N,WC1N,1
197,12,WC1R,WC1R,WC1R,1
198,12,WC1V,WC1V,WC1V,1
199,12,WC1X,WC1X,WC1X,1
200,12,WC2A,WC2A,WC2A,1
